ID Number,Title,MKEY,Category,Localized Subject/Theme,LCSH Subject/Theme,Current Countries,Previous Countries,Editor-in-Chief,Photographer(s),Writer(s),Artist(s),Map and Diagrams By,Back Publishing Info,Maker,Contents,Description,Issue No.,,Issue No. (Sort)
2020.016.002,"USSR in Construction No. 10, 1931",43102,"Agriculture & Food Production; Collectivization & State Farms; Labor & Workers; Light Industry & Consumer Goods; Women & Gender Roles; Youth, Culture, & Education; Transportation Infrastructures",Tajikistan; road building; cotton farming; collectivization; industrialization; silk factories; cotton mills; schools and education; women's liberation;,"Roads--Design and construction--Soviet Union; Tajikistan--History; Dry farming--Soviet Union; Rural industries--Soviet Union; Rural industries—Tajikistan; Tajikistan—History—Soviet period, 1917–1991; Roads—Design and construction—Tajikistan; Dry farming—Tajikistan; Textile factories—Soviet Union; Textile factories—Tajikistan; Women--Social conditions--Tajikistan; Women--Social conditions--Soviet Union;",Tajikistan,USSR; Tajikistan,G. L. Pyatakov,M. Alpert,Boris Lapin,N. S Troshin,,,State Publishing House of the RSFSR,No. 10 is devoted to Tadjikistan — The Seventh Soviet Republic,"Burnt orange cover page with the title in dark green in the middle. This issue is dedicated to Tajikistan, the ""Seventh Socialist Republic"", and is primarily in English with some Arabic at the bottom or towards the center of the spreads. It talks about the various reconstruction efforts in Tajikistan, including the neccessity of roadbuilding and plans for floodgates to facilitate cotton and textile factories. Education is also mentioned, with the establishment of Soviet school of communism teaching principles of industrialization and collectivization.",10,,10
2020.016.003,"USSR in Construction No. 11, 1931",43103,"Agriculture & Food Production; Children & Childcare; Electricity & Power Plants; Labor & Workers; Urban Development; Worker Housing & Communal Life; Youth, Culture, & Education; Locomotives & Automobiles & Shipbuilding","Lenin; Leningrad; Leningrad Port; industrialization; Pavlov; sciences; technical schools; electricity; tractors; engineering; cameras; motorcycles; typewriters; knitting, sewing; shipbuilding; power stations; housing; kitchen factories; infrastructure; hospitals; Children's Town; culture; literacy;","Electric power-plants—Soviet Union; Shipbuilding—Soviet Union; Industrial housing--Soviet Union; Food industry—Soviet Union; Saint Petersburg (Russia)—History—20th century; Lenin, Vladimir Il'ich, 1870-1924—Influence; Ports—Russia—Saint Petersburg; Industrialization—Russia—Saint Petersburg; Pavlov, Ivan Petrovich, 1849-1936; Science—Russia—Saint Petersburg; Technical education—Russia—Saint Petersburg; Electric power-plants—Soviet Union; Shipbuilding—Soviet Union; Industrial housing—Soviet Union; Food industry—Soviet Union; Engineering—Russia—Saint Petersburg; Cameras—Russia—Saint Petersburg; Motorcycles—Russia—Saint Petersburg; Typewriters—Russia—Saint Petersburg; Knitting—Russia—Saint Petersburg; Sewing—Russia—Saint Petersburg; Shipbuilding—Russia—Saint Petersburg; Power stations—Russia—Saint Petersburg; Housing—Russia—Saint Petersburg; Kitchen factories—Russia—Saint Petersburg; Infrastructure (Economics)—Russia—Saint Petersburg; Hospitals—Russia—Saint Petersburg; Children's towns—Russia—Saint Petersburg; Culture—Russia—Saint Petersburg; Literacy—Russia—Saint Petersburg;
",Russia; St. Petersburg,USSR; Leningrad,G. L. Pyatakov,"B. lgnatovikh, E. lgnatovitch, N. Shtertzer, S. Magaziner, A. Shaikhet and F. Shtertzer ",none listed,N. Illyin,,,State Publishing House of the RSFSR,Subject of No. 11 — Leningrad in Construction,"Green cover page with the title in red in the middle. This issue focuses on Leningrad as the driving force of the USSR's industrial development. It positions the city as one of the largest industrial centres in the USSR, depicting photographs of the production sites and processes of tractor plants, diesel engines, cameras, motorcycles, the fleet, powerstation, and tramways - to name a few. Each section is introduced with a short paragraph describing the progress achieved by the specific industry. It notes one site in particular, the ""Svetlana"" factory, boasting that it, ""caught up with america"" in its production numbers and quality.",11,,11
2020.016.005,"USSR in Construction No. 3, 1932",43105,Agriculture & Food Production; Electricity & Power Plants; Collectivization & State Farms; Global Exchange & Trade; Heavy Industry & Raw Materials; Labor & Workers; Light Industry & Consumer Goods; Public Life & Cultural Spaces,Soviet Socialist Republic of Georgia (SSRG); Socialist Soviet Republic of Azerbaijan (ASSR); Soviet Socialist Republic of Armenia (SSRA); Transcaucasia; Infrastructure; Irrigation; hydro-electric stations; oil production; tea farms; collective agricultural farms; textile factories; science institutes; resorts;,"Georgia (Republic)—History—Soviet period, 1921–1991; Azerbaijan—History—Soviet period, 1920–1991; Armenia—History—Soviet period, 1920–1991; Transcaucasia (Region)—History—Soviet period, 1920–1991; Infrastructure (Economics)—Soviet Union; Irrigation—Soviet Union; Hydroelectric power plants—Soviet Union; Petroleum industry and trade—Soviet Union; Tea—Soviet Union; Collective farms—Soviet Union; Textile industry—Soviet Union",Georgia; Armenia; Azerbaijan,Soviet Transcaucus; Transcaucasia; Soviet Socialist Republic of Georgia (SSRG); Socialist Soviet Republic of Azerbaijan (ASSR); Soviet Socialist Republic of Armenia (SSRA);,G. L. Pyatakov,Akopof; Alpert; Goliashvili; Kozak; Shmerling; Soiouz-Photo;,N. Sokolsky; Rose Lee,E. Troshin,"There is an illustrated map (hydro-electric stations) and 2 maps of railways on the back cover, no credits, though",,State Publishing House of the RSFSR,No. 3 is Dedicated to the tenth anniversary of the Transcaucasian Federation,"Dark green cover page with the title in red in the middle. This issue focuses on the Transcaucasian Federation (short-lived state of Armenia, Azerbaijan, Georgia, plus some of Russia and Turkey) for its 10th anniversary. It covers the progress undertaken of each of the capital cities of Tiflis (Georgia), Baku (Azerbaijan), and Erivan (Armenia), referencing their oil production, tea farms, collective agricultural farms, and textile factories. Within the magainze is a fold-out spread for the irrigation efforts across various channels in the region. The back cover is dark green and depicts two maps - one of Lake Sevan, and the other of the railroad system across the Caucus Mountains.",3,,3
2020.009.001,"USSR in Construction No. 7 , 1932",41772,Factories & Assembly Lines; Heavy Industry & Raw Materials; Labor & Workers,Krammashstroi; Uralmashstroi; metallurgy; metal factories; steel foundries;,Metallurgy—Soviet Union;  Metallurgy--Soviet Union--History; Metal-workers—Soviet Union; Factory system—Soviet Union; Iron and steel workers—Soviet Union; Foundries—Soviet Union;,"Russia (Urals), Ukraine (Krammatorsk)",USSR; Ukrainian Soviet Socialist Republic,G. L. Pyatakov,"G. Zelmanovitch, E. Langman; W. Chumak; M. Rosenbaum; N. Zadurayev; Skurikhin;",A. Litvak; M. Smolensky,N. S Troshin,,,State Publishing House of Graphic Arts,No. 7 is devoted to Krammashstroi and Uralmashstroi,"""USSR in Construction"" is an illustrated, monthly magazine; this edition is Number 7 of the year 1932. The magazine is about economic development, specifically, focusing on the Soviet Union growing more economically independent by making it's own machinery. In this effort, the magazine concentrates on the two factories, Krammashstroi and Uralmashstroi. The magazine contains pictures of factories, machines, and workers, and is written in English (although, the magazine is also offered in German, Russian, and French languages). There is a small bend in the upper right corner of the cover, and a few, small imperfections on the front; also, there is a smudge on the back cover.",7,,7
2020.016.006,"USSR in Construction No. 8, 1932",43106,Labor & Workers; Transportation Infrastructures; Locomotives & Automobiles & Shipbuilding,Railroads; transportation; locomotives; engineering,Engineering—Soviet Union; Railroads—Soviet Union; Railroads—Design and construction—Soviet Union; Locomotives—Soviet Union; Transportation—Soviet Union—History—20th century;,Russia,USSR,G. L. Pyatakov,"M. Alpert; S. Magaziner; A. Pogosky; M. Prekhner; M. Rosenbaum; A. Savelyev; Soiouz-Photo, I. Tartakovsky; A. Shaikhet",A. Eisenberg; J. Leventhal,N. S Troshin,Illustrated map of rail lines,,State Publishing House of Graphic Arts,,"Green cover page with a half-beige, half-red title in the middle. This issue focuses on the railroad industry in the Soviet Union, which was heavily impacted by the First World War. It highlights progress in locomotive engineering and freight trains, and refers to Lenin's belief of the importance of mechanizing difficult labor processes. It also covers plans to greatly expand the railroad network across the USSR, and highlights that while passenger traffic in Western Europe was falling, in the USSR it was rising as a transport method for farmers and workers.",8,,8
2024.056.005,"USSR in Construction No. 9, 1932",56975,"Agriculture & Food Production; Colonialism & Indigenous Cultures; Collectivization & State Farms; Labor & Workers; Youth, Culture, & Education; Women & Gender Roles","Oirot culture; Cattle herding; Cattle Farms; Soviet transformation of Oirot nomadism; Collectivization and agricultural mechanization; National identity and cultural development in Chuya, Katun, and Kosh-Agacha regions; socialist indoctrination of indigenous people",Collectivization of agriculture—Soviet Union; Agriculture—Soviet Union; Collective farms—Soviet Union; Soviet Union—Rural conditions; Nomads—Soviet Union—History;  Indigenous peoples—Soviet Union; Socialism and education—Soviet Union ,Russia; Altai Republic,USSR; Oirot Autonomous Oblast ,G. L. Pyatakov,-,-,-,-,,State Publishing House of Graphic Arts,,"Oversized red magazine with tan writing. This magazine covers collectivization efforts, youth education initiatives, and state-run agricultural projects in the Oirot Autonomous Oblast (modern Altai Republic, Russia). Told as a timeline story, it features individual stories of a man and woman who travel to larger cities to acquire Soviet teachings bringing back Soviet teachings. The magaizne geatures general Soviet initiatives aimed to integrate the Oirot indigenous communities into the socialist system. Some sections include transliterations in Crimean Tatar.",9,,9
2020.016.009,"USSR in Construction No. 12, 1932",43109,Agriculture & Food Production; Colonialism & Indigenous Cultures; Exploration & Expeditions; Labor & Workers; Mining & Resource Extraction,Arctic Expeditions; Khibin Tundra; Soviet transformation of indigenous Khibin people; mines and mineral resources; ,Mines and mineral resources—Soviet Union; Phosphate industry—Soviet Union; Apatite—Soviet Union; Industrial development—Soviet Union; Soviet Union—Economic policy—1928–1937; Agriculture—Soviet Union—Khibiny Mountains; Arctic regions—Exploration—Soviet Union;,Russia; Khibiny Mountains,USSR,G. L. Pyatakov,Blokhin; Pliner; Ribakov; Peshkov; Prekhner,A. Alexandroff,N. S Troshin,-,,State Publishing House of Graphic Arts,"No. 12 is Devoted to the Khibins; Soviet Arctics (Ushakov's Expeditions to the North Land, the Second International Polar Years and the Explorations of Sibiryakov, Rusanov, Maligin, etc.); The Red Army (The 15th Anniversary); Soviet Volga (A crossing of two historical epochs: The Volga of Merchants will be illustrated with beautiful photographs of the past. Soviet Volga is the Volga of large industry and socialistic agriculture); The Soviet Automobile; Tourism: Murmansk — Batum (social-economic review of the regions cut through by this itinerary in the aspect of socialistic construction); Kamchatka and Sakhaline; Physical Culture in the USSR (The World Spartakiade in 1933). Each photo theme will be accompanied by a literary sketch.","Pink cover page with the title in black in the middle. This issue focuses on the Khibins (or the Khibiny Mountains), specifically on the rate of development it experienced over three years of Soviet exploration. The magazine utilizes photographs and short explanatory paragraphs to describe how the Soviet Union built apatite mines and phosphorite mills to reduce reliance on imports for their superphosphate industry. It also highlights the shift in transportation from reindeer to locomotive, as well as living conditions from tents to town buildings. Agriculture is also noted repeatedly, emphasizing the previous failures for cattle and produce, and the new successed for potatoes, turnips, cabbages, and various cattle. The magazine ends with a hopeful note for further development into the Koal peninsula.",12,,12
2024.056.006,"USSR in Construction No. 1, 1933",56976,Factories & Assembly Lines; Global Exchange & Trade; Labor & Workers; Locomotives & Automobiles & Shipbuilding,Automobile factories; automobile industry; road building;,Automobile industry and trade—Soviet Union; Automobile factories—Soviet Union; utomobiles—Soviet Union—Manufacturing; Road construction—Soviet Union,Russia,USSR,G. L. Pyatakov,Soiouz-Photo; A. Shaikhet,-,N. S Troshin,-,,State Publishing House of Graphic Arts,No. 1 is Devoted to the Soviet Automobile Industry,"Deep blue and red color on the front cover. The content relates to the developement of automobile industry. It depicts how automobilles could transfer Soviet from agricultural society to a more industrialized society. It also depicts the relation between American automobile industry (such as Ford), its American engineers/workers and the rising of automobile industry in Soviet. There are some picture depicting women and chidren being trained to use the machines.",1,,1
2023.022.001,"USSR in Construction No. 3, 1933",51843,Electricity & Power Plants; Labor & Workers; Transportation Infrastructures,Soviet Volga; Volga River; Yaroslavl; Gorky; timber; boats; cargo; Kazan; Ulyanovsk; Samara; Saratov; Stalingrad; Astrakhan; hydro-electric stations; waterways; culture,Volga River (Russia)—History—20th century; Inland water transportation—Soviet Union; Hydroelectric power plants—Soviet Union; Soviet Union—Economic conditions—1928–1937; Yaroslavl (Russia); Nizhniĭ Novgorod (Russia); Kazan (Russia); Samara (Russia); Saratov (Russia); Volgograd (Russia); Astrakhan (Russia),Russia,USSR,G. L. Pyatakov,U. Yeremin; N. Zadurayev; V. Kinelovsky; M. Rosenbaum; A. Shaikhet; R. Ostrovskaya; Otsup; Soiouz-Photo; ,Sergei Tretyakov,N. S Troshin,"Map of Volga region's hydro-electric stations, waterways, river stations, and irrigation ",,The State Publishing Union of RSFSR,No. 3 is Devoted to Soviet Volga,"March 1933 (No. 3) issue of USSR In Construction. Cover is in red, text in blue and white. The cover reads ""USSR in construction / the sixteenth year of the revolution / 3 / the state publishing union of RSFSR"". Focus of this issue is the history and contemporary industrialization of the Volga river, moving south through major Soviet settlements from Yaroslavl to Astrakhan to describe their ""czarist"" past and socialist future. A number of pages pre- and antecedent to the geographical section discuss the region in general. The interior is printed in black and white, aged to sepia. Photos are primarily of landscapes, buildings, products of manufacture, and a variety of laborers. Nautical themes are also obviously prevalent.",3,,3
2020.016.007,"USSR in Construction No. 4, 1933",43107,"Agriculture & Food Production; Collectivization & State Farms; Labor & Workers; Youth, Culture, & Education",Soviet White-Russia; peat fuel; agriculture; farming; industrial food; culture,Belarus—History—20th century; Collectivization of agriculture—Soviet Union; Peat as fuel—Soviet Union; Education—Soviet Union; Literacy—Soviet Union; Jews—Soviet Union—Social conditions,Poland; Belarus; Russia,Poland; White Russia; USSR,G. L. Pyatakov,S. Green; M. Markov; Soiouz-Photo,-,N. S Troshin,-,,State Publishing House of the RSFSR,No. 4 is Devoted to the White Russian Soviet Socialist Republic,"Dark yellow cover with the title in blue in the middle. This issue focuses on White-Russia (modern day Belarus), specifically the half that was retained by the Soviet Union after the Polish-Soviet War. Utilizing photographs with short accompanying texts, the magazine highlights the rapid development of public infrastructure, along with the production capabilities of the agriculture, textile, and building industries. Collective farms are underscored as a key element of Soviet agriculture, as well as national policies that worked to desegregate and integrate the Jewish population into the general workforce. The magazine further emphasizes the achievement of universal literacy in White-Russia, and the rapid organization of 47 scientific research institutions.",4,,4
2020.009.002,"USSR in Construction No. 5, 1933",41773,Agriculture & Food Production; Exploration & Expeditions; Global Exchange & Trade; Scientific Research & Technology,Horticulture; trade; global expeditions; agriculture; botany; Kara-Kum; Kolkhida; irrigation; ,"Horticulture—Soviet Union; Agriculture—Soviet Union; Botany, Economic—Soviet Union; Plant introduction—Soviet Union; Agricultural exploration—Soviet Union; Irrigation—Soviet Union; Karakum Desert (Turkmenistan); Colchis (Georgia); Land reclamation—Soviet Union; Crop improvement—Soviet Union;",Georgia; Turkmenistan; Russia,Georgia; Turkmenistan; USSR,G. L. Pyatakov,M. V. Alpert; S. O. Fridland,A. G. Bragin,N. S Troshin,-,,State Publishing House of the RSFSR,No. 5 is Devoted to New Plants and Crops,"The magazine is an illustrated, monthly magazine;  Number 5 of the year 1933. This copy contains information about successful expeditions undertaken by Soviet groups to discover new, and new variants of crops from around the world, and bring them back to the Soviet Union. The magazine is written in English, and contains pictures of crops, people, and topographies. Although this copy is written in English, the magazine was made available in German, French, and Russian as well. There is a scrape and smaller marks on the front cover which expose white paper beneath the ink.",5,,5
2024.056.007,"USSR in Construction No. 7, 1933",56977,Global Exchange & Trade; Heavy Industry & Raw Materials; Labor & Workers; Locomotives & Automobiles & Shipbuilding,Metallurgy; Makstroi; Luganstroi; ship and train factories,Metallurgy—Soviet Union; Steel industry and trade—Soviet Union; Iron industry and trade—Soviet Union; Blast furnaces—Soviet Union; Locomotive industry—Soviet Union; Machinery industry—Soviet Union;,Russia; Ukraine,USSR,G. L. Pyatakov,M. V. Alpert; G. G. Petrussov,-,N. S Troshin,-,,State Publishing House of the RSFSR,No. 7 Deals with the Makstroi and Luganstroi,"Oversized blue and tan patterned magazine journal with black writing. Covers industrial initiatives across the USSR including metal factories, blast iron furances, and locomotive construction factories. Worker portraits and write ups featured throughout.",7,,7
2019.010.006,"USSR in Construction No. 8, 1933",41062,Factories & Assembly Lines; Labor & Workers,Chelyabinsk Tractors; factories and assembly lines; ,Tractor industry—Soviet Union; Tractors—Soviet Union; Assembly-line methods—Soviet Union; Factories—Soviet Union; Industrialization—Soviet Union; Labor—Soviet Union; Chelyabinsk (Russia);,Russia,USSR,G. L. Pyatakov,Kislov; Soiouz-Photo; Belyakov; N. Vladimirtsev; A. A. Lebedev,-,M. P. Hetmansky,-,,The State Publishing Union of RSFSR,No. 8 is Devoted to the Opening of the Chelyabinsk Tractor Plant,"Large magazine with red cover and white text. Blue stamp that reads ""Research Dept. of Metro-Goldwyn-Mayer"" on cover. The magazine covers the economic implications of the Soviet Union's powerful tractor which began operating on May 15, 1933 in Chelyabinsk. Discusses the development of tractor plants and other new, industrial achievements. Abundance of black and white photographs portraying large gatherings of Soviet citizens in celebration of these advancements.",8,,8
2020.016.008,"USSR in Construction No. 9, 1933",43108,Colonialism & Indigenous Cultures; Exploration & Expeditions; Scientific Research & Technology; Aviation Technology; Transportation Infrastructures,Arctic exploration; Polar aviation; Icebreaker navigation; Scientific stations; Northern indigenous nationalities; Soviet industrial expansion into the Arctic,Arctic regions—Discovery and exploration—Soviet Union; Icebreakers (Ships)—Soviet Union; Meteorological stations—Arctic regions; Indigenous peoples—Russia (Federation)—Social conditions; Soviet Union—Economic policy—1928–1937; Scientific expeditions—Arctic regions; Soviet Union—Territorial expansion,Russia,USSR,G. L. Pyatakov,G. A. Ushakov; M. Troyanovsky; P. K. Novitsky; I. M. Ivanov; L. A. Portenko; R. L. Samoilovitch; A. Nikolsky; V. Berezkin; G. Dontz; S. O. Friedland; V. I. Avgevich; L. O. Retovsky; S. V. Obruchiev; Gaikorovich,Boris Gromov,El Lissitzky; Leo Kantorovich,Z. Deineka,,State Publishing House of the RSFSR,,"Cover page with a grainy close-up image of an arctic ship, with the title in beige in the top-right corner. This issue focuses on the expedition to open up the sea passage bordering Northeast Russia. The magazine contains maps, photos, and written explanations of the expedition, tracing it from Kara sea (the first stage) through the northernmost station of Franz Josef Isalnd, to the exploration of Bolshevik Island (Severnaya Zemlya), through the Wragnel Islands. Images of the three icebreaker vessels are prominent, as well as large two-page spreads of the arctic environment. A short section is dedicated to the Eskimo peoples in the areas, as well as their hunting and communal practices. Towards the end, fold-out map of Northeast Russia is included, showing locations of important cities, mines, natural resources, and the route of the northeast passage connnecting Murmansk to Valdivostok. At the very last page, there are prints and English translations of Stalin's congratulatory telegrams to the three icebreaker vessels, as well as a large fold-out section with additional photos from the expedition.",9,,9
2024.056.008,"USSR in Construction No. 10, 1933",56978,Agriculture & Food Production; Colonialism & Indigenous Cultures; Labor & Workers; Women & Gender Roles; Public Life & Cultural Spaces,Middle Asia; Soviet Republics of Central Asia; Irrigation and electrification in Central Asia; Cotton production; Women’s emancipation in the Soviet East; Socialist transformation of nomadic life,Cotton growing—Soviet Union; Irrigation—Soviet Union; Women—Soviet Union—Social conditions; Soviet Union—Economic policy—1928–1937; Nomads—Sedentarization—Soviet Union; Central Asia—Social life and customs; Public health—Soviet Union,Uzbekistan; Turkmenistan; Tajikistan; Kazakhstan; Kyrgyzstan; Russia,USSR,G. Pyatakov,J. Eriomin; V. Lebedev; I. Malofeyev,-,N. S. Troshin,-,,"State Publishing House of the RSFSR; Pyatakov, G. L.; The State Publishing House of Graphic Arts",,"USSR in Construction, 1933 #10. The cover is bright orange with red, white, and orange coloring for the font. USSR in Construction in large font across the center. Descriptions on the inside discuss how socialism is improving the lives of the people in Middle Asia. Many photographs showing industrial buildings, agricultural fields, and workers of Middle Asia. Includes a photograph of the Kalyan minaret in Bukhara, Uzbekistan. On the centerfold are photographs of the Leaders of the Party and the Soviet Government in Middle Asia.",10,,10
2020.026.001,"USSR in Construction No. 11, 1933",43138,"Colonialism & Indigenous Cultures; Collectivization & State Farms; Labor & Workers; Youth, Culture, & Education; Public Life & Cultural Spaces",Buriat-Mongol Autonomous Soviet Socialist Republic (BMASSR); Tenth Anniversary of Soviet Buriatia,Indigenous peoples—Soviet Union—Social conditions; Soviet Union—Politics and government—1925–1953; Collective farms—Soviet Union; Nomads—Sedentarization—Soviet Union; Buddhism—Soviet Union—Decline; Health care reform—Soviet Union; Education—Soviet Union; Socialist construction—Soviet Union; Buriat-Mongol Autonomous Soviet Socialist Republic—Economic conditions; Soviet Union—Nationalities policy; Soviet propaganda—Visual communication,Russia; Mongolia,USSR,G. Pyatakov,M. Alpert; M. Prekhner; M. Alpert,-,Ism. Urazov,Zoya Deineka,,State Publishing House of the RSFSR,,"Dark green cover with the title ""USSR in Construction"", issue 11 published in ""the seventeenth year of the revolution"", edition 11. This sepcific isue examines the Buriat-Mongolian Autonomous Soviet Socialist Republic (BMASSR) with images of the territory, the people, and daily life.",11,,11
2019.010.007,"USSR in Construction No. 1, 1934",41063,Factories & Assembly Lines; Heavy Industry & Raw Materials; Labor & Workers; Urban Development,Chemical industry infrastructure; Synthetic fertilizer production; Industrial urban planning; Bobriki Combinat development,Chemical industry—Soviet Union; Ammonia—Synthesis—Soviet Union; Sulfuric acid industry—Soviet Union; Power-plants—Soviet Union; Fertilizers—Manufacture—Soviet Union; Planned communities—Soviet Union; Industrial policy—Soviet Union,Russia,USSR,G. L. Pyatakov,M. Alpert; Lepikhin; Photo Bureau of the Construction Works,N. Dementiev; English translation by G. M. Kingston,"Ism. Urasov (art composition)

",-,,State Publishing House of the RSFSR,,"Magazine with beige cover and dark brown text; blurred stamp that reads ""Research Dept. of Metro-Goldwyn-Mayer"" in blue ink on top right. Magazine chronicles the development of several new, large plants and its economic implications within USSR industry and society. Special focus on how these industries will benefit the Soviet people, rural towns, and academia. Homage to the workers and specialists involved in the project.",1,,1
2023.021.001,"USSR in Construction No. 2, 1934",51842,Animal Industries; Aviation Technology; Exploration & Expeditions; Labor & Workers; Scientific Research & Technology; Locomotives & Automobiles & Shipbuilding,"Underwater salvage; Kara-Kum expedition; Tajikistan scientific development; Soviet stratosphere flight

",Salvage operations (Marine)—Soviet Union; Scientific expeditions—Soviet Union; Automobiles—Testing—Soviet Union; Soviet Union—Exploration—Tajikistan; Stratosphere—Exploration—Soviet Union; Soviet Union—Politics and government—1925–1953,"Russia; Uzbekistan; Turkmenistan; Tajikistan; Kazakhstan; Georgia; Armenia; Ukraine

",USSR,G. L. Pyatakov,"Guschin; Gorbunov; Dorofeyev; Karmen; Kinelovsky; Lebedev; Mazelev; Petrusov; Sorokin

","Edward Tisse; Sergei Tretiakov; English translation by G. M. Kingston

",El Lissitzky; Es Lissitzky,Zoya Deyneka,,State Publishing House of the RSFSR,,"USSR in Construction: an Illustrated Monthly Magazine, No. 2, February 1934. Beige cover with writing on wide red band. Material language is English (magazine was published in four languages: Russian, English, German, and French). Issue gives ""an account of four Bolshevik victories"": 1) EPRON, 2) the Moscow-Kara-Kum-Moscow automobile run, 3) the Pamir Expedition. 4) The Flight of the Stratostat ""USSR"". Spine is chipping away and therefore fragile.",2,,2
2023.020.001,"USSR in Construction No. 3, 1934",51836,Electricity & Power Plants; Heavy Industry & Raw Materials; Labor & Workers,"Dnieper Hydroelectric Station; Industrial electrification; Metallurgical industry

",Hydroelectric power plants—Soviet Union; Electrification—Soviet Union; Iron and steel industry—Soviet Union; Soviet Union—Economic conditions—1917–1945,Ukraine; Russia,USSR,G. L. Pyatakov,M. V. Alpert; S. V. Alperin; R. E. Ostrovskaya,"S. J. Yantarov; English translation by M. Pevsner

",N. S. Troshin,Z. Deineka,,The State Publishing House of Graphic Arts,,"USSR in Construction, No.3, March 1934. Blue and beige cover with beige writing and photo of power lines. Material language is English (magazine was published in four languages: Russian, English, German, and French). Issue focuses on the hydroelectric station ""Dnieper Combinat"" and life in surrounding residential areas (Khatayevich Collective Farm, Novoya Zaporozhie). Also included is a brief mention and photo of a visit by former Prime Minister Edouard Herriot of France.",3,,3
2024.053.001,"USSR in Construction No. 5, 1934",57080,Agriculture & Food Production; Animal Industries,Meat production; Industrial food processing,Meat industry and trade—Soviet Union; Slaughtering and slaughter-houses—Sanitation—Soviet Union; Soviet Union—Economic conditions—1917–1945,Russia; Azerbaijan; Kazakhstan,USSR,G. L. Pyatakov,A. Shaikhet (Moscow); M. Alpert (Leningrad); K. Kuznetsov,"A. Litvak;  (English translation) G. M. Kingston

",B. Zemenkov; A. Schulrichter,Uncredited,,,,"USSR in Construction #5, 1934",5,,5
2024.045.001,"USSR in Construction No. 6, 1934",56300,Scientific Research & Technology,Scientific infrastructure; Soviet research institutes; Anti-fascist academic exile,Science—Soviet Union—History—20th century; Research institutes—Soviet Union; Refugee scholars—Germany—History—20th century,Russia; Ukraine; Kazakhstan; Georgia; Armenia; Azerbaijan; Uzbekistan; Turkmenistan; Tajikistan; Kyrgyzstan; Germany; France; Italy; Netherlands; Denmark; Sweden; Bulgaria; Czech Republic; Slovakia,USSR,G. Pyatakov,"G. G. Petrussov; Goldstein; Kuznetsov; Lebedev; Friedland; Melnik; Troyanovsky

",M. J. Prezent; A. S. Zukker; M. Pevsner (translator),El Lissitzky; Es Lissitzky,Uncredited,,"Goznak; Gorky, Maksim, 1868-1936; Grinko, G.; Enukidze, T.; Ionov, I.; Kalmanovich, M.; Koltsov, M.; Krasnov, P.; Pyatakov, G. L.; Pevsner, M.",,"USSR in Construction magazine volume #6. Published in June 1934. Cover features an image of lightening striking between the moon and the eath. Magazine covers topics such as persecuted scientists in Gemany as well as notable experts in the Physico-Technical Institute, the Electro-Physical Institute, the Central Aero-Hydrodynamic Institute, the Optimical Institute, and other scientic establishments in the USSR.",6,,6
2023.020.002,"USSR in Construction No. 9, 1934",51837,Public Life & Cultural Spaces; Urban Development,Public Parks; Cultural Leisure,Parks—Soviet Union; Recreation—Soviet Union—History—20th century; Working class—Recreation—Soviet Union; Soviet Union—Social life and customs—1917–1945,Russia,USSR,G. L. Pyatakov,G. Petrusov; E. Mikulina; S. Friedland; R. Ostrovskaia,P. Timsky,N. Troshin,-,,The State Publishing House of Graphic Arts,,"USSR in Construction, No. 9, September 1934. Purple and green cover with beige writing and photo of flowers. Material language is English (magazine was published in four languages: Russian, English, German, and French). Issue focuses on ""The Maxim Gorky Central Park of Culture and Rest"". Content includes images of park, walkways, ""children's townlet"", and ""parachute tower"", among other recreational activities. Of note also is a scan of letter by H.G. Wells and a photo of Wells' visit to the Maxim Gorky Central Park of Culture and Rest. Spome creasing, dampstain on cover and early pages.",9,,9
2020.016.010,"USSR in Construction No. 10, 1934",43110,Exploration & Expeditions; Aviation Technology,Arctic Exploration; Expedition; Soviet Aviation Rescue,Arctic regions—Discovery and exploration—Russian; Rescue work—Arctic regions; Soviet Union—History—1917–1945; Aeronautics in polar regions—Soviet Union; Soviet Union—Politics and government—1925–1953,Russia,USSR,G. L. Pyatakov,P. K. Novitsky; A. Shaikhet; V. Temin; I. Shagin; N. Petrov; G. Ushakov; A. Shaffran; N. Komov; Vikhiriev; V. Remov,-,El Lissitzky; Es Lissitzky,Z. Deineka,,State Fine Arts Press,,"Light blue cover with a strip image of three planes, with the title in white in the middle. This issue focuses on the Chelyuskin expedition in early 1933 into the northeast passage to conduct a complete study. The ship was crushed by the ice and pressure, leading to the disappearance of its entire crew. Through photographs, maps, and short paragraphs, this magazine is a blow-by-blow recounting of the events of the expedition and of the subsequent rescue efforts, in which the airforce was mobilized to search for the crew - ultimately bringing them home two months later. A large fold out spread at the start commemorates their return, while an additional insertion mid-magazine contains sketches by an artist aboard the ship of the scenes of those stranded.",10,,10
